"PC9","CATEGORY","TITLE","PRICE","SOFT_MARKUP","HARD_MARKUP","THUMBNAIL_IMAGE","PC9_PAGE_URL"
"372640020","JeanJacketsandTruckers","Baby 12-24M Indigo Trucker Jacket","44.00000000","29.99000000","","https://lsco.scene7.com/is/image/lsco/H1-18/clothing/372640020-front-pdp.jpg?$grid_desktop_full$","https://lsco.scene7.com/is/image/lsco/H1-18/clothing/372640020-front-pdp.jpg?$backoffice$"
"299450031","JeanJacketsandTruckers","Original Trucker Jacket","68.00000000","","","https://lsco.scene7.com/is/image/lsco/Levis/clothing/299450031-front-pdp.jpg?$grid_desktop_full$","https://lsco.scene7.com/is/image/lsco/Levis/clothing/299450031-front-pdp.jpg?$backoffice$"
"323170045","Shorts","501® Shorts","49.50000000","39.99000000","","https://lsco.scene7.com/is/image/lsco/Levis/clothing/323170045-front-pdp.jpg?$grid_desktop_bottoms$","https://lsco.scene7.com/is/image/lsco/Levis/clothing/323170045-front-pdp.jpg?$backoffice$"
"235470013","Shorts","High Rise Wedgie Fit Shorts","69.50000000","","39.98000000","https://lsco.scene7.com/is/image/lsco/Levis/clothing/235470013-front-pdp.jpg?$grid_desktop_bottoms$","https://lsco.scene7.com/is/image/lsco/Levis/clothing/235470013-front-pdp.jpg?$backoffice$"
"477370001","TShirts","Levi's® NFL Rugby Shirt","68.00000000","","44.98000000","https://lsco.scene7.com/is/image/lsco/Levis/clothing/477370001-front-pdp.jpg?$grid_desktop_full$","https://lsco.scene7.com/is/image/lsco/Levis/clothing/477370001-front-pdp.jpg?$backoffice$"
"393890021","TShirts","Levi’s® Logo J.V. Tee Shirt","29.50000000","","","https://lsco.scene7.com/is/image/lsco/Levis/clothing/393890021-front-pdp.jpg?$grid_desktop_full$","https://lsco.scene7.com/is/image/lsco/Levis/clothing/393890021-front-pdp.jpg?$backoffice$"
"373470014","Jeans","Girls 7-16 710 Super Skinny Jeans","24.99000000","","14.98000000","https://lsco.scene7.com/is/image/lsco/H1-18/clothing/373470014-front-pdp.jpg?$grid_desktop_full$","https://lsco.scene7.com/is/image/lsco/H1-18/clothing/373470014-front-pdp.jpg?$backoffice$"
"372540018","Jeans","Toddler Boys 2T-4T 511™ Slim Fit Performance Jeans","40.00000000","24.99000000","","https://lsco.scene7.com/is/image/lsco/Levis/clothing/372540018-front-pdp.jpg?$grid_desktop_bottoms$","https://lsco.scene7.com/is/image/lsco/Levis/clothing/372540018-front-pdp.jpg?$backoffice$"
"115010000","Jeans","501® Shrink-to-Fit™ Jeans (Big & Tall)","69.50000000","49.99000000","","https://lsco.scene7.com/is/image/lsco/Levis/clothing/115010000-front-pdp.jpg?$grid_desktop_bottoms$","https://lsco.scene7.com/is/image/lsco/Levis/clothing/115010000-front-pdp.jpg?$backoffice$"
"355260001","Jeans","510™ Skinny Fit Altered Jeans","98.00000000","","49.98000000","https://lsco.scene7.com/is/image/lsco/Levis/clothing/355260001-front-pdp.jpg?$grid_desktop_bottoms$","https://lsco.scene7.com/is/image/lsco/Levis/clothing/355260001-front-pdp.jpg?$backoffice$"
"386890000","JeanJacketsandTruckers","Orange Tab Button Trucker Jacket","89.50000000","","69.98000000","https://lsco.scene7.com/is/image/lsco/Levis/clothing/386890000-front-pdp.jpg?$grid_desktop_full$","https://lsco.scene7.com/is/image/lsco/Levis/clothing/386890000-front-pdp.jpg?$backoffice$"
"228470008","Socks","Levi’s® 2-Pack No Show Stripe & Solid Socks","15.00000000","11.99000000","","https://lsco.scene7.com/is/image/lsco/Levis/clothing/228470008-front-pdp.jpg?$grid_desktop_acc$","https://lsco.scene7.com/is/image/lsco/Levis/clothing/228470008-front-pdp.jpg?$backoffice$"
"590900066","Jeans","Needle Narrow Jeans","198.00000000","","139.98000000","https://lsco.scene7.com/is/image/lsco/Levis/clothing/590900066-front-pdp.jpg?$grid_desktop_bottoms$","https://lsco.scene7.com/is/image/lsco/Levis/clothing/590900066-front-pdp.jpg?$backoffice$"
"188820113","Jeans","721 High Rise Skinny Jeans","89.50000000","","","https://lsco.scene7.com/is/image/lsco/Levis/clothing/188820113-front-pdp.jpg?$grid_desktop_bottoms$","https://lsco.scene7.com/is/image/lsco/Levis/clothing/188820113-front-pdp.jpg?$backoffice$"
"354970004","Jackets","Coach's Jacket","98.00000000","","59.98000000","https://lsco.scene7.com/is/image/lsco/Levis/clothing/354970004-front-pdp.jpg?$grid_desktop_full$","https://lsco.scene7.com/is/image/lsco/Levis/clothing/354970004-front-pdp.jpg?$backoffice$"
"235940011","Jackets","Baker Bomber Jacket","79.50000000","","59.98000000","https://lsco.scene7.com/is/image/lsco/Levis/clothing/235940011-front-pdp.jpg?$grid_desktop_full$","https://lsco.scene7.com/is/image/lsco/Levis/clothing/235940011-front-pdp.jpg?$backoffice$"
"188820143","Jeans","721 High Rise Skinny Jeans","98.00000000","","","","https://lsco.scene7.com/is/image/lsco/Levis/clothing/188820143-front-pdp.jpg?$backoffice$"
"005010134","Jeans","501® Original Fit Jeans","59.50000000","49.99000000","","https://lsco.scene7.com/is/image/lsco/Levis/clothing/005010134-front-pdp.jpg?$grid_desktop_bottoms$","https://lsco.scene7.com/is/image/lsco/Levis/clothing/005010134-front-pdp.jpg?$backoffice$"
"393650000","Pants","Summer Culottes","198.00000000","","139.98000000","https://lsco.scene7.com/is/image/lsco/Levis/clothing/393650000-front-pdp.jpg?$grid_desktop_bottoms$","https://lsco.scene7.com/is/image/lsco/Levis/clothing/393650000-front-pdp.jpg?$backoffice$"
"520770003","Pants","Chino Pants","198.00000000","","99.98000000","https://lsco.scene7.com/is/image/lsco/XX/clothing/520770003-front-pdp.jpg?$grid_desktop_full$","https://lsco.scene7.com/is/image/lsco/XX/clothing/520770003-front-pdp.jpg?$backoffice$"
"224910271","TShirts","Classic Graphic Tee","29.50000000","","14.98000000","https://lsco.scene7.com/is/image/lsco/Levis/clothing/224910271-front-pdp.jpg?$grid_desktop_full$","https://lsco.scene7.com/is/image/lsco/Levis/clothing/224910271-front-pdp.jpg?$backoffice$"
"224910250","TShirts","Classic Graphic Tee Shirt","29.50000000","","9.98000000","https://lsco.scene7.com/is/image/lsco/Levis/clothing/224910250-front-pdp.jpg?$grid_desktop_full$","https://lsco.scene7.com/is/image/lsco/Levis/clothing/224910250-front-pdp.jpg?$backoffice$"
"188840095","Jeans","712 Slim Jeans","89.50000000","","69.98000000","https://lsco.scene7.com/is/image/lsco/Levis/clothing/188840095-front-pdp.jpg?$grid_desktop_bottoms$","https://lsco.scene7.com/is/image/lsco/Levis/clothing/188840095-front-pdp.jpg?$backoffice$"
"005012722","Jeans","501® Original Fit Jeans","168.00000000","","","","https://lsco.scene7.com/is/image/lsco/Levis/clothing/005012722-front-pdp.jpg?$backoffice$"
"523870000","JeanJacketsandTruckers","Alternative Trucker Jacket","128.00000000","","69.98000000","https://lsco.scene7.com/is/image/lsco/Levis/clothing/523870000-front-pdp.jpg?$grid_desktop_full$","https://lsco.scene7.com/is/image/lsco/Levis/clothing/523870000-front-pdp.jpg?$backoffice$"
"284960043","JeanJacketsandTruckers","Levi's® NBA Denim Trucker Jacket","108.00000000","","79.98000000","https://lsco.scene7.com/is/image/lsco/Levis/clothing/284960043-front-pdp.jpg?$grid_desktop_full$","https://lsco.scene7.com/is/image/lsco/Levis/clothing/284960043-front-pdp.jpg?$backoffice$"
"771280264","Shoes","Honey Ankle Boot","100.00000000","","42.98000000","https://lsco.scene7.com/is/image/lsco/Levis/clothing/771280264-front-pdp.jpg?$grid_desktop_full$","https://lsco.scene7.com/is/image/lsco/Levis/clothing/771280264-front-pdp.jpg?$backoffice$"
"380960002","Shoes","Huntington Chukka Boots","100.00000000","","68.98000000","https://lsco.scene7.com/is/image/lsco/Levis/clothing/380960002-front-pdp.jpg?$grid_desktop_full$","https://lsco.scene7.com/is/image/lsco/Levis/clothing/380960002-front-pdp.jpg?$backoffice$"
"196430001","Jeans","311 Shaping Skinny Jeans (Plus Size)","69.50000000","59.99000000","","https://lsco.scene7.com/is/image/lsco/Levis/clothing/196430001-front-pdp.jpg?$grid_desktop_bottoms$","https://lsco.scene7.com/is/image/lsco/Levis/clothing/196430001-front-pdp.jpg?$backoffice$"
"015504891","Jeans","550™ Relaxed Fit Jeans (Big & Tall)","69.50000000","49.99000000","","https://lsco.scene7.com/is/image/lsco/Levis/clothing/015504891-front-pdp.jpg?$grid_desktop_bottoms$","https://lsco.scene7.com/is/image/lsco/Levis/clothing/015504891-front-pdp.jpg?$backoffice$"
"373850005","Sweatshirts","Little Girls 4-6x Levi's® Zip Front Hoodie","42.00000000","","14.98000000","https://lsco.scene7.com/is/image/lsco/Levis/clothing/373850005-front-pdp.jpg?$grid_desktop_full$","https://lsco.scene7.com/is/image/lsco/Levis/clothing/373850005-front-pdp.jpg?$backoffice$"
"194920055","Sweatshirts","Levi's® Logo Crewneck Sweatshirt","40.00000000","","","https://lsco.scene7.com/is/image/lsco/Levis/clothing/194920055-front-pdp.jpg?$grid_desktop_full$","https://lsco.scene7.com/is/image/lsco/Levis/clothing/194920055-front-pdp.jpg?$backoffice$"
"359050004","Jeans","Twig High Rise Slim Jeans","198.00000000","","139.98000000","https://lsco.scene7.com/is/image/lsco/Levis/clothing/359050004-front-pdp.jpg?$grid_desktop_bottoms$","https://lsco.scene7.com/is/image/lsco/Levis/clothing/359050004-front-pdp.jpg?$backoffice$"
"349640040","Jeans","Wedgie Fit Straight Jeans","98.00000000","","","https://lsco.scene7.com/is/image/lsco/Levis/clothing/349640040-front-pdp.jpg?$grid_desktop_bottoms$","https://lsco.scene7.com/is/image/lsco/Levis/clothing/349640040-front-pdp.jpg?$backoffice$"
